iShares MSCI USA Equal Weighted ETF
Inception Date,"May 05, 2010"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"194,880,251.74"
Shares Outstanding,"3,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"HOLX","HOLOGIC INC","Equity","0.18","41.27","8,437.00","348,194.99","348,194.99","Health Care","2433530","US4364401012","NASDAQ"
"QRTEA","QURATE RETAIL INC SERIES A","Equity","0.18","21.93","15,829.00","347,129.97","347,129.97","Consumer Discretionary","BZ19HB0","US74915M1009","NASDAQ"
"VST","VISTRA ENERGY CORP","Equity","0.18","23.99","14,461.00","346,919.39","346,919.39","Utilities","BZ8VJQ8","US92840M1027","New York Stock Exchange Inc."
"XLNX","XILINX INC","Equity","0.18","78.89","4,389.00","346,248.21","346,248.21","Information Technology","2985677","US9839191015","NASDAQ"
"PPL","PPL CORP","Equity","0.18","30.86","11,219.00","346,218.34","346,218.34","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"HSIC","HENRY SCHEIN INC","Equity","0.18","85.07","4,068.00","346,064.76","346,064.76","Health Care","2416962","US8064071025","NASDAQ"
"TMUS","T MOBILE US INC","Equity","0.18","68.94","5,018.00","345,940.92","345,940.92","Communication","B94Q9V0","US8725901040","NASDAQ"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.18","83.28","4,153.00","345,861.84","345,861.84","Communication","BRTLC06","US5303073051","NASDAQ"
"NBL","NOBLE ENERGY INC","Equity","0.18","31.80","10,875.00","345,825.00","345,825.00","Energy","2640761","US6550441058","New York Stock Exchange Inc."
"S","SPRINT CORP","Equity","0.18","6.40","54,027.00","345,772.80","345,772.80","Communication","BC4FF21","US85207U1051","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.18","92.57","3,732.00","345,471.24","345,471.24","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Equity","0.18","137.53","2,511.00","345,337.83","345,337.83","Materials","2464165","US4595061015","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.18","112.25","3,072.00","344,832.00","344,832.00","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"BHF","BRIGHTHOUSE FINANCIAL INC","Equity","0.18","43.90","7,855.00","344,834.50","344,834.50","Financials","BF429K9","US10922N1037","NASDAQ"
"BA","BOEING","Equity","0.18","368.25","936.00","344,682.00","344,682.00","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.18","98.32","3,503.00","344,414.96","344,414.96","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"PGR","PROGRESSIVE CORP","Equity","0.18","70.27","4,900.00","344,323.00","344,323.00","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.18","147.02","2,342.00","344,320.84","344,320.84","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","0.18","220.80","1,559.00","344,227.20","344,227.20","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.18","178.06","1,932.00","344,011.92","344,011.92","Financials","2965839","US12572Q1058","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.18","312.09","1,102.00","343,923.18","343,923.18","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","0.18","69.19","4,968.00","343,735.92","343,735.92","Energy","2420101","US4234521015","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.18","83.50","4,115.00","343,602.50","343,602.50","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.18","337.13","1,019.00","343,535.47","343,535.47","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.18","278.42","1,233.00","343,291.86","343,291.86","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"AAP","ADVANCE AUTO PARTS INC","Equity","0.18","168.37","2,039.00","343,306.43","343,306.43","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.18","151.96","2,259.00","343,277.64","343,277.64","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.18","37.65","9,117.00","343,255.05","343,255.05","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.18","58.51","5,864.00","343,102.64","343,102.64","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"IAC","IAC INTERACTIVE","Equity","0.18","207.99","1,649.00","342,975.51","342,975.51","Communication","B0F0F09","US44919P5089","NASDAQ"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.18","185.45","1,844.00","341,969.80","341,969.80","Health Care","2931034","US92532F1003","NASDAQ"
"ATO","ATMOS ENERGY CORP","Equity","0.18","94.93","3,602.00","341,937.86","341,937.86","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","0.18","83.54","4,092.00","341,845.68","341,845.68","Utilities","2048804","US7234841010","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.18","110.95","3,081.00","341,836.95","341,836.95","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.18","116.19","2,940.00","341,598.60","341,598.60","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"HCA","HCA HEALTHCARE INC","Equity","0.18","135.50","2,521.00","341,595.50","341,595.50","Health Care","B4MGBG6","US40412C1018","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.18","122.26","2,793.00","341,472.18","341,472.18","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"AR","ANTERO RESOURCES CORP","Equity","0.17","19.14","17,805.00","340,787.70","340,787.70","Energy","BFD2WR8","US03674X1063","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.17","149.85","2,272.00","340,459.20","340,459.20","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.17","52.30","6,509.00","340,420.70","340,420.70","Materials","B0G4K50","US1252691001","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.17","398.52","854.00","340,336.08","340,336.08","Health Care","2730190","US75886F1075","NASDAQ"
"JWN","NORDSTROM INC","Equity","0.17","62.56","5,439.00","340,263.84","340,263.84","Consumer Discretionary","2641827","US6556641008","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.17","71.22","4,777.00","340,217.94","340,217.94","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PE","PARSLEY ENERGY INC CLASS A","Equity","0.17","29.71","11,451.00","340,209.21","340,209.21","Energy","BMMV736","US7018771029","New York Stock Exchange Inc."
"FTNT","FORTINET INC","Equity","0.17","82.71","4,112.00","340,103.52","340,103.52","Information Technology","B5B2106","US34959E1091","NASDAQ"
"SYMC","SYMANTEC CORP","Equity","0.17","20.66","16,459.00","340,042.94","340,042.94","Information Technology","2861078","US8715031089","NASDAQ"
"EIX","EDISON INTERNATIONAL","Equity","0.17","69.53","4,886.00","339,723.58","339,723.58","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.17","91.81","3,700.00","339,697.00","339,697.00","Health Care","B95WG16","US98978V1035","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.17","60.77","5,585.00","339,400.45","339,400.45","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.17","69.07","4,911.00","339,202.77","339,202.77","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.17","37.80","8,962.00","338,763.60","338,763.60","Utilities","2100920","US3379321074","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.17","148.69","2,278.00","338,715.82","338,715.82","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.17","133.44","2,538.00","338,670.72","338,670.72","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.17","105.05","3,223.00","338,576.15","338,576.15","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"IQV","IQVIA HOLDINGS INC","Equity","0.17","129.61","2,612.00","338,541.32","338,541.32","Health Care","BDR73G1","US46266C1053","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.17","175.10","1,933.00","338,468.30","338,468.30","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"TSCO","TRACTOR SUPPLY","Equity","0.17","88.88","3,808.00","338,455.04","338,455.04","Consumer Discretionary","2900335","US8923561067","NASDAQ"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.17","53.83","6,285.00","338,321.55","338,321.55","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"CBS","CBS CORP CLASS B","Equity","0.17","55.05","6,141.00","338,062.05","338,062.05","Communication","B0SRLH6","US1248572026","New York Stock Exchange Inc."
"IT","GARTNER INC","Equity","0.17","151.14","2,236.00","337,949.04","337,949.04","Information Technology","2372763","US3666511072","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.17","202.34","1,669.00","337,705.46","337,705.46","Health Care","2023607","US0311621009","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.17","164.07","2,058.00","337,656.06","337,656.06","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"AEE","AMEREN CORP","Equity","0.17","64.78","5,212.00","337,633.36","337,633.36","Utilities","2050832","US0236081024","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.17","272.57","1,238.00","337,441.66","337,441.66","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"CMI","CUMMINS INC","Equity","0.17","147.41","2,288.00","337,274.08","337,274.08","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"JEC","JACOBS ENGINEERING GROUP INC","Equity","0.17","74.33","4,535.00","337,086.55","337,086.55","Industrials","2469052","US4698141078","New York Stock Exchange Inc."
"AWK","AMERICAN WATER WORKS INC","Equity","0.17","90.05","3,743.00","337,057.15","337,057.15","Utilities","B2R3PV1","US0304201033","New York Stock Exchange Inc."
"NLSN","NIELSEN HOLDINGS PLC","Equity","0.17","27.14","12,411.00","336,834.54","336,834.54","Industrials","BWFY550","GB00BWFY5505","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.17","76.31","4,413.00","336,756.03","336,756.03","Health Care","2369174","US3755581036","NASDAQ"
"ABMD","ABIOMED INC","Equity","0.17","386.88","870.00","336,585.60","336,585.60","Health Care","2003698","US0036541003","NASDAQ"
"AAPL","APPLE INC","Equity","0.17","222.15","1,515.00","336,557.25","336,557.25","Information Technology","2046251","US0378331005","NASDAQ"
"A","AGILENT TECHNOLOGIES INC","Equity","0.17","67.46","4,987.00","336,423.02","336,423.02","Health Care","2520153","US00846U1016","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.17","48.27","6,968.00","336,345.36","336,345.36","Utilities","2614807","US98389B1008","NASDAQ"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.17","127.68","2,630.00","335,798.40","335,798.40","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"BPR","BROOKFIELD PROPERTY REIT INC CLASS","Equity","0.17","20.05","16,735.00","335,536.75","335,536.75","Real Estate","BGHFKV0","US11282X1037","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","0.17","136.56","2,457.00","335,527.92","335,527.92","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.17","49.69","6,749.00","335,357.81","335,357.81","Utilities","2219224","US1258961002","New York Stock Exchange Inc."
"APA","APACHE CORP","Equity","0.17","44.51","7,529.00","335,115.79","335,115.79","Energy","2043962","US0374111054","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.17","160.67","2,085.00","334,996.95","334,996.95","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"TRGP","TARGA RESOURCES CORP","Equity","0.17","56.65","5,912.00","334,914.80","334,914.80","Energy","B55PZY3","US87612G1013","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.17","102.79","3,258.00","334,889.82","334,889.82","Financials","B5834C5","US12503M1080","Cboe BZX formerly known as BATS"
"CAT","CATERPILLAR INC","Equity","0.17","143.71","2,330.00","334,844.30","334,844.30","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.17","214.92","1,558.00","334,845.36","334,845.36","Information Technology","2459020","US4612021034","NASDAQ"
"AET","AETNA INC","Equity","0.17","200.49","1,670.00","334,818.30","334,818.30","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"RCL","ROYAL CARIBBEAN CRUISES LTD","Equity","0.17","121.61","2,752.00","334,670.72","334,670.72","Consumer Discretionary","2754907","LR0008862868","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","0.17","95.81","3,492.00","334,568.52","334,568.52","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.17","96.55","3,465.00","334,545.75","334,545.75","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","0.17","111.00","3,014.00","334,554.00","334,554.00","Information Technology","2588173","US5949181045","NASDAQ"
"MRO","MARATHON OIL CORP","Equity","0.17","21.18","15,792.00","334,474.56","334,474.56","Energy","2910970","US5658491064","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.17","73.80","4,532.00","334,461.60","334,461.60","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.17","72.30","4,625.00","334,387.50","334,387.50","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.17","773.51","432.00","334,156.32","334,156.32","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.17","74.93","4,455.00","333,813.15","333,813.15","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","0.17","39.78","8,387.00","333,634.86","333,634.86","Utilities","2545844","US80589M1027","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.17","71.70","4,651.00","333,476.70","333,476.70","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","0.17","81.20","4,106.00","333,407.20","333,407.20","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.17","102.75","3,238.00","332,704.50","332,704.50","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.17","249.69","1,332.00","332,587.08","332,587.08","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.17","43.08","7,716.00","332,405.28","332,405.28","Utilities","2973821","US0188021085","New York Stock Exchange Inc."
"CNC","CENTENE CORP","Equity","0.17","146.46","2,269.00","332,317.74","332,317.74","Health Care","2807061","US15135B1017","New York Stock Exchange Inc."
"HRB","H&R BLOCK INC","Equity","0.17","26.76","12,411.00","332,118.36","332,118.36","Consumer Discretionary","2105505","US0936711052","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","0.17","22.19","14,966.00","332,095.54","332,095.54","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.17","37.11","8,948.00","332,060.28","332,060.28","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WP","WORLDPAY INC CLASS A","Equity","0.17","96.52","3,440.00","332,028.80","332,028.80","Information Technology","BF8D8T0","US9815581098","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.17","187.99","1,766.00","331,990.34","331,990.34","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.17","153.15","2,167.00","331,876.05","331,876.05","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"COO","COOPER INC","Equity","0.17","262.07","1,266.00","331,780.62","331,780.62","Health Care","2222631","US2166484020","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.17","159.56","2,079.00","331,725.24","331,725.24","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"SQ","SQUARE INC CLASS A","Equity","0.17","78.72","4,212.00","331,568.64","331,568.64","Information Technology","BYNZGK1","US8522341036","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.17","54.35","6,095.00","331,263.25","331,263.25","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"ARMK","ARAMARK","Equity","0.17","40.96","8,083.00","331,079.68","331,079.68","Consumer Discretionary","BH3XG17","US03852U1060","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.17","80.94","4,089.00","330,963.66","330,963.66","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"UTHR","UNITED THERAPEUTICS CORP","Equity","0.17","127.04","2,605.00","330,939.20","330,939.20","Health Care","2430412","US91307C1027","NASDAQ"
"HAS","HASBRO INC","Equity","0.17","101.91","3,246.00","330,799.86","330,799.86","Consumer Discretionary","2414580","US4180561072","NASDAQ"
"SRE","SEMPRA ENERGY","Equity","0.17","115.76","2,857.00","330,726.32","330,726.32","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.17","52.65","6,281.00","330,694.65","330,694.65","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"DXC","DXC TECHNOLOGY","Equity","0.17","90.06","3,671.00","330,610.26","330,610.26","Information Technology","BYXD7B3","US23355L1061","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.17","244.71","1,351.00","330,603.21","330,603.21","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"JNPR","JUNIPER NETWORKS INC","Equity","0.17","28.56","11,573.00","330,524.88","330,524.88","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.17","32.29","10,235.00","330,488.15","330,488.15","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.17","27.75","11,907.00","330,419.25","330,419.25","Utilities","2440637","US15189T1079","New York Stock Exchange Inc."
"DVMT","DELL TECHNOLOGIES CLASS V INC","Equity","0.17","95.66","3,454.00","330,409.64","330,409.64","Information Technology","BDB2RN7","US24703L1035","New York Stock Exchange Inc."
"ALB","ALBEMARLE CORP","Equity","0.17","97.14","3,401.00","330,373.14","330,373.14","Materials","2046853","US0126531013","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.17","171.29","1,928.00","330,247.12","330,247.12","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"NOW","SERVICENOW INC","Equity","0.17","192.72","1,713.00","330,129.36","330,129.36","Information Technology","B80NXX8","US81762P1021","New York Stock Exchange Inc."
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.17","173.70","1,900.00","330,030.00","330,030.00","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"SGEN","SEATTLE GENETICS INC","Equity","0.17","74.75","4,414.00","329,946.50","329,946.50","Health Care","2738127","US8125781026","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.17","209.83","1,572.00","329,852.76","329,852.76","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.17","194.71","1,694.00","329,838.74","329,838.74","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"MTD","METTLER TOLEDO INC","Equity","0.17","573.59","575.00","329,814.25","329,814.25","Health Care","2126249","US5926881054","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.17","542.91","607.00","329,546.37","329,546.37","Health Care","2871301","US46120E6023","NASDAQ"
"CA","CA INC","Equity","0.17","43.81","7,520.00","329,451.20","329,451.20","Information Technology","2214832","US12673P1057","NASDAQ"
"DTE","DTE ENERGY","Equity","0.17","111.24","2,960.00","329,270.40","329,270.40","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"COG","CABOT OIL & GAS CORP","Equity","0.17","23.90","13,769.00","329,079.10","329,079.10","Energy","2162340","US1270971039","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.17","61.96","5,307.00","328,821.72","328,821.72","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.17","143.28","2,295.00","328,827.60","328,827.60","Information Technology","2065308","US0530151036","NASDAQ"
